City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Bethel,US,78.94,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
2,Rikitea,PF,74.12,light rain,-23.1203,-134.9692,People ThankYou
3,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Thompson,CA,69.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
6,Tyup,KG,69.51,overcast clouds,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
9,Banda Aceh,ID,82.04,broken clouds,5.5577,95.3222,Sulthan Hotel International
10,Grand Gaube,MU,67.37,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
11,Zhangye,CN,77.4,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
15,Kahului,US,87.82,light rain,20.8947,-156.47,Maui Seaside Hotel
16,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
19,Botwood,CA,69.31,overcast clouds,49.1499,-55.3482,Exploits Hostel
20,San Quintin,MX,73.08,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
23,Hithadhoo,MV,80.55,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Bengkulu,ID,77.07,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Emerald,AU,73.54,clear sky,-23.5333,148.1667,The Irish Village
30,Musoma,TZ,68.97,overcast clouds,-1.5,33.8,New Peninsula Hotel
31,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
35,Jieshi,CN,89.94,scattered clouds,22.8134,115.8257,Yuehai Hotel
37,East London,ZA,68.79,clear sky,-33.0153,27.9116,Tu Casa
40,Urgut,UZ,71.22,clear sky,39.4022,67.2431,Xursandov Abdullo xonadoni
42,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Krasnyy Yar,RU,67.96,overcast clouds,46.5331,48.3456,Cottege near Ufa
47,Chumikan,RU,75.25,overcast clouds,54.7183,135.315,Fortuna
51,Houma,US,88.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
53,Erenhot,CN,73.78,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
56,Hilo,US,80.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Jamestown,US,72.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
61,Bambous Virieux,MU,67.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
62,Airai,TL,71.62,overcast clouds,-8.9266,125.4092,Juvinal Martin
63,Sargodha,PK,89.55,broken clouds,32.0836,72.6711,Ayesha Hostel
67,Whitefish,US,87.55,few clouds,48.4111,-114.3376,Best Western Rocky Mountain Lodge
69,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
70,Pemangkat,ID,81.59,overcast clouds,1.1667,108.9667,Ramah Kost KITA
71,Atar,MR,89.83,clear sky,20.5169,-13.0499,Oumou Elghoura
74,Puerto Ayora,EC,71.69,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
77,Portland,US,89.64,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
78,Itapirapua,BR,73.17,clear sky,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
80,Weihai,CN,82.02,light rain,37.5017,122.1136,Beihai Travel Resort
82,Isabela,PH,86.05,scattered clouds,6.7085,121.9711,Isawad Resort
83,Asfi,MA,69.73,broken clouds,32.2994,-9.2372,Hôtel Abda
84,Manadhoo,MV,82.44,overcast clouds,5.7667,73.3833,Vevu Guesthouse
85,Kavieng,PG,84.69,light rain,-2.5744,150.7967,Nusa Island Retreat
87,Khandyga,RU,68.59,overcast clouds,62.6667,135.6,Apel'sin
89,Udachnyy,RU,82.89,broken clouds,66.4167,112.4,Severnoye Siyaniye
91,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
92,Mandera,KE,75.52,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
93,Fairbanks,US,66.54,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
95,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
96,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
97,Umm Lajj,SA,86.77,few clouds,25.0213,37.2685,Moon light Furnished Units
100,Namatanai,PG,85.39,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
102,Hobyo,SO,76.57,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
105,Gratkorn,AT,67.87,few clouds,47.1497,15.3655,Motel Arbotel GmbH Self Check-In 24/7
107,Nouadhibou,MR,69.78,scattered clouds,20.931,-17.0347,El Medina
108,Along,IN,79.84,broken clouds,28.1667,94.7667,Hotel West
111,Huilong,CN,81.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
113,Khatanga,RU,82.36,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
114,Sibu,MY,82.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
115,Lagoa,PT,70.39,overcast clouds,39.05,-27.9833,Casa Das Faias
116,Caravelas,BR,72.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
117,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
118,Itarema,BR,77.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
119,Idlib,SY,79.99,clear sky,35.9306,36.6339,مركز تسيل للتجميل
120,Salalah,OM,78.89,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
122,Borzya,RU,68.29,clear sky,50.3833,116.5167,Tikhiy
126,Quatre Cocos,MU,67.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
127,Hamilton,US,81.37,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
131,Amontada,BR,74.82,few clouds,-3.3617,-39.8317,Casa do Otávio
132,Kiunga,PG,75.85,light rain,-6.1219,141.2906,Airport Lodge Kiunga
135,Ngunguru,NZ,66.16,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
136,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
137,Nandyal,IN,77.09,overcast clouds,15.4833,78.4833,Hotel Shobha
140,Torbay,CA,66.97,light intensity shower rain,47.6666,-52.7314,Gallows Cove
141,Dingle,PH,85.03,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
149,Weligama,LK,78.42,overcast clouds,5.9667,80.4167,Weligama Bay Resort
150,Tukrah,LY,75.76,clear sky,32.5341,20.5791,Lokta restaurant
152,Harper,LR,76.71,overcast clouds,4.375,-7.7169,Screensaver
