City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bethel,US,41.3712,-73.414,78.94,81,90,4.61,overcast clouds
1,Yar-Sale,RU,66.8333,70.8333,49.17,67,99,11.45,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,74.12,78,100,14.72,light rain
3,Vaini,TO,-21.2,-175.2,69.96,83,75,8.05,broken clouds
4,Kaili,ID,-3.4626,120.2147,75.15,68,82,2.48,broken clouds
5,Thompson,CA,55.7435,-97.8558,69.96,56,75,4.61,broken clouds
6,Tyup,KG,42.7276,78.3648,69.51,52,91,3.44,overcast clouds
7,Vila,PT,42.0304,-8.1588,53.74,83,1,4.99,clear sky
8,Waipawa,NZ,-41.4122,175.5153,54.45,64,0,2.21,clear sky
9,Banda Aceh,ID,5.5577,95.3222,82.04,75,55,13.87,broken clouds
10,Grand Gaube,MU,-20.0064,57.6608,67.37,91,100,5.01,moderate rain
11,Zhangye,CN,38.9342,100.4517,77.4,25,23,5.32,few clouds
12,Barstow,US,34.8986,-117.0228,99.59,26,27,3.24,scattered clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,66,75,8.05,light rain
14,Mataura,NZ,-46.1927,168.8643,52.48,74,69,0.63,broken clouds
15,Kahului,US,20.8947,-156.47,87.82,73,40,25.32,light rain
16,Avarua,CK,-21.2078,-159.775,77.05,65,49,5.75,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,37.06,100,90,4.61,light intensity drizzle
18,Mar Del Plata,AR,-38.0023,-57.5575,46.13,67,90,11.01,overcast clouds
19,Botwood,CA,49.1499,-55.3482,69.31,92,100,9.8,overcast clouds
20,San Quintin,MX,30.4833,-115.95,73.08,75,1,12.71,clear sky
21,Cherskiy,RU,68.75,161.3,39.25,73,100,19.48,overcast clouds
22,Nicolas Bravo,MX,18.45,-88.9167,80.69,71,10,6.15,clear sky
23,Hithadhoo,MV,-0.6,73.0833,80.55,78,100,8.7,overcast clouds
