City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nelson Bay,AU,2021-07-22 06:43:32,-32.7167,152.15,60.85,69,56,10.13
1,Provideniya,RU,2021-07-22 06:43:33,64.3833,-173.3,50.11,66,75,11.18
2,Chuy,UY,2021-07-22 06:43:33,-33.6971,-53.4616,45.19,78,100,4.72
3,Boda,CF,2021-07-22 06:43:33,4.3189,17.4695,73.27,81,100,4.47
4,Bluff,NZ,2021-07-22 06:43:34,-46.6,168.3333,46.8,67,8,9.93
5,Caravelas,BR,2021-07-22 06:43:34,-17.7125,-39.2481,66.88,84,22,1.83
6,Punta Arenas,CL,2021-07-22 06:43:35,-53.15,-70.9167,35.71,93,75,5.75
7,Lagoa,PT,2021-07-22 06:43:35,39.05,-27.9833,66.94,75,76,16.11
8,Navahrudak,BY,2021-07-22 06:43:36,53.6,25.8333,62.47,60,0,6.22
9,Cape Town,ZA,2021-07-22 06:42:17,-33.9258,18.4232,45.88,93,75,1.01
10,Thompson,CA,2021-07-22 06:43:37,55.7435,-97.8558,64.56,77,90,2.3
11,Ballina,AU,2021-07-22 06:40:13,-28.8667,153.5667,64.58,63,26,6.91
12,Bambous Virieux,MU,2021-07-22 06:43:38,-20.3428,57.7575,75.22,56,20,16.11
13,Lleida,ES,2021-07-22 06:43:38,41.6167,0.6167,79.0,47,0,11.5
14,Balabac,PH,2021-07-22 06:43:39,7.9868,117.0645,85.87,71,46,16.55
15,Mataura,NZ,2021-07-22 06:43:39,-46.1927,168.8643,46.47,96,33,2.62
16,Kruisfontein,ZA,2021-07-22 06:43:40,-34.0033,24.7314,42.89,73,100,25.28
17,Ushuaia,AR,2021-07-22 06:43:40,-54.8,-68.3,37.06,87,0,4.61
18,Lebu,CL,2021-07-22 06:43:41,-37.6167,-73.65,49.12,91,100,4.0
19,Njeru,UG,2021-07-22 06:43:41,0.4186,33.1731,75.34,57,10,2.44
20,Waipawa,NZ,2021-07-22 06:43:42,-41.4122,175.5153,48.83,92,100,10.78
21,Pevek,RU,2021-07-22 06:43:42,69.7008,170.3133,45.59,61,10,7.54
22,Saint-Philippe,RE,2021-07-22 06:43:43,-21.3585,55.7679,76.59,69,37,14.92
23,Albany,US,2021-07-22 06:42:47,42.6001,-73.9662,59.81,95,2,4.12
24,Tigil,RU,2021-07-22 06:43:43,57.8,158.6667,67.33,65,100,7.74
25,Hilo,US,2021-07-22 06:41:06,19.7297,-155.09,74.93,82,20,3.44
26,Vaini,TO,2021-07-22 06:43:44,-21.2,-175.2,73.56,88,40,4.61
27,Port Alfred,ZA,2021-07-22 06:43:45,-33.5906,26.891,47.25,83,100,28.25
28,Belize,BZ,2021-07-22 06:43:45,17.25,-88.75,82.24,99,100,2.91
29,Rikitea,PF,2021-07-22 06:43:46,-23.1203,-134.9692,72.3,70,0,16.08
30,Tres Picos,MX,2021-07-22 06:43:46,15.8667,-93.5333,79.74,74,94,4.72
31,Bulgan,MN,2021-07-22 06:43:47,48.8125,103.5347,78.22,47,0,4.94
32,Worland,US,2021-07-22 06:43:47,44.0169,-107.9554,80.6,40,1,0.0
33,Sisimiut,GL,2021-07-22 06:43:48,66.9395,-53.6735,43.02,82,100,5.66
34,Beringovskiy,RU,2021-07-22 06:43:48,63.05,179.3167,55.18,67,47,5.93
35,Vuktyl,RU,2021-07-22 06:43:49,63.8567,57.3094,60.53,36,9,6.24
36,San Patricio,US,2021-07-22 06:43:49,28.017,-97.5169,82.26,69,25,5.82
37,Helena,US,2021-07-22 06:39:13,46.5927,-112.0361,68.99,58,1,1.99
38,Moerai,PF,2021-07-22 06:43:50,-22.4333,-151.3333,73.71,70,0,7.65
39,Ban Dung,TH,2021-07-22 06:43:51,17.699,103.2596,87.82,95,100,7.99
40,Bathsheba,BB,2021-07-22 06:43:51,13.2167,-59.5167,81.21,83,40,18.41
41,Hermanus,ZA,2021-07-22 06:43:52,-34.4187,19.2345,44.91,68,100,9.89
42,Palmer,US,2021-07-22 06:43:52,42.1584,-72.3287,64.02,90,1,0.0
43,Westport,US,2021-07-22 06:43:53,41.1415,-73.3579,69.98,83,1,1.99
44,Cabo San Lucas,MX,2021-07-22 06:40:20,22.8909,-109.9124,84.81,72,0,6.8
45,Kodiak,US,2021-07-22 06:43:53,57.79,-152.4072,53.26,95,100,7.72
46,Verkhnyaya Inta,RU,2021-07-22 06:43:54,65.9811,60.3094,51.94,56,97,14.92
47,Ullapool,GB,2021-07-22 06:43:54,57.8987,-5.1604,60.76,81,11,2.8
